Year;Official Code State;Official Name State;Official Code Local Government Area;Official Name Local Government Area;Iso 3166-3 Area Code;Type;Long Official Name Local Government Area
2021;1;New South Wales;18020;Warrumbungle Shire;AUS;local government area;Warrumbungle Shire
2021;1;New South Wales;18710;Yass Valley;AUS;local government area;Yass Valley
2021;1;New South Wales;19399;Unincorporated NSW;AUS;local government area;Unincorporated NSW
2021;2;Victoria;21370;Campaspe;AUS;local government area;Campaspe
2021;2;Victoria;21610;Casey;AUS;local government area;Casey
2021;2;Victoria;22170;Frankston;AUS;local government area;Frankston
2021;2;Victoria;25490;Moyne;AUS;local government area;Moyne
2021;2;Victoria;26700;Wangaratta;AUS;local government area;Wangaratta
2021;3;Queensland;32260;Cassowary Coast;AUS;local government area;Cassowary Coast
2021;3;Queensland;32810;Douglas;AUS;local government area;Douglas
2021;4;South Australia;44550;Mount Barker;AUS;local government area;Mount Barker
2021;5;Western Australia;51540;Carnarvon;AUS;local government area;Carnarvon
2021;5;Western Australia;51610;Chapman Valley;AUS;local government area;Chapman Valley
2021;5;Western Australia;55670;Morawa;AUS;local government area;Morawa
2021;5;Western Australia;56090;Mundaring;AUS;local government area;Mundaring
2021;5;Western Australia;58190;Tammin;AUS;local government area;Tammin
2021;5;Western Australia;58760;Wanneroo;AUS;local government area;Wanneroo
2021;6;Tasmania;60810;Central Coast;AUS;local government area;Central Coast (Tas.)
2021;6;Tasmania;61810;Dorset;AUS;local government area;Dorset
2021;6;Tasmania;62410;Glamorgan-Spring Bay;AUS;local government area;Glamorgan-Spring Bay
2021;6;Tasmania;64210;Meander Valley;AUS;local government area;Meander Valley
2021;7;Northern Territory;70700;Coomalie;AUS;local government area;Coomalie
2021;1;New South Wales;13550;Gunnedah;AUS;local government area;Gunnedah
2021;1;New South Wales;17310;Tamworth Regional;AUS;local government area;Tamworth Regional
2021;1;New South Wales;17420;The Hills Shire;AUS;local government area;The Hills Shire
2021;2;Victoria;20260;Ararat;AUS;local government area;Ararat
2021;2;Victoria;22410;Glenelg;AUS;local government area;Glenelg
2021;2;Victoria;25430;Mount Alexander;AUS;local government area;Mount Alexander
2021;2;Victoria;25900;Port Phillip;AUS;local government area;Port Phillip
2021;2;Victoria;27350;Yarra;AUS;local government area;Yarra
2021;3;Queensland;31950;Burke;AUS;local government area;Burke
2021;3;Queensland;32750;Diamantina;AUS;local government area;Diamantina
2021;3;Queensland;34770;Mackay;AUS;local government area;Mackay
2021;3;Queensland;36150;Quilpie;AUS;local government area;Quilpie
2021;3;Queensland;36630;South Burnett;AUS;local government area;South Burnett
2021;3;Queensland;37340;Whitsunday;AUS;local government area;Whitsunday
2021;4;South Australia;47490;Streaky Bay;AUS;local government area;Streaky Bay
2021;4;South Australia;48410;West Torrens;AUS;local government area;West Torrens
2021;4;South Australia;48750;Yankalilla;AUS;local government area;Yankalilla
2021;5;Western Australia;50630;Boddington;AUS;local government area;Boddington
2021;9;Other Territories;51860;Cocos Islands;AUS;local government area;Cocos Islands
2021;5;Western Australia;52310;Cuballing;AUS;local government area;Cuballing
2021;5;Western Australia;52590;Dandaragan;AUS;local government area;Dandaragan
2021;5;Western Australia;53150;East Fremantle;AUS;local government area;East Fremantle
2021;5;Western Australia;53220;East Pilbara;AUS;local government area;East Pilbara
2021;5;Western Australia;57420;Ravensthorpe;AUS;local government area;Ravensthorpe
2021;5;Western Australia;57630;Sandstone;AUS;local government area;Sandstone
2021;6;Tasmania;62610;Glenorchy;AUS;local government area;Glenorchy
2021;6;Tasmania;65410;Waratah-Wynyard;AUS;local government area;Waratah-Wynyard
