dateID,year,month
19927,1992,7
19926,1992,6
19925,1992,5
19924,1992,4
19923,1992,3
19922,1992,2
19921,1992,1
199112,1991,12
199111,1991,11
199110,1991,10
19919,1991,9
19918,1991,8
19917,1991,7
19916,1991,6
19915,1991,5
19914,1991,4
19913,1991,3
19912,1991,2
19911,1991,1
199012,1990,12
199011,1990,11
199010,1990,10
19909,1990,9
19908,1990,8
19907,1990,7
19906,1990,6
19905,1990,5
19904,1990,4
19903,1990,3
19902,1990,2
19901,1990,1
198912,1989,12
198911,1989,11
198910,1989,10
19899,1989,9
19898,1989,8
19897,1989,7
19896,1989,6
19895,1989,5
19894,1989,4
19893,1989,3
19892,1989,2
19891,1989,1
